 ,Area,Mean,Min,Max,Angle,Length

1,324.240,179.380,73.333,252.333,0.000,164.060
2,5603.638,118.656,79.760,252.605,179.376,2867.319

3,230.580,216.352,95.049,253.873,1.685,152.679
4,4246.701,113.870,60.269,252.524,179.184,2837.099

5,242.994,185.632,82.421,251.333,3.013,165.941
6,3906.925,110.034,51.667,252.786,178.977,2686.707

7,244.574,201.796,79.633,252.800,2.862,170.819
8,3725.202,115.668,62.482,252.339,179.533,2618.884

9,234.436,202.029,87.123,252.605,-4.514,163.274
10,3720.390,114.804,58.659,251.000,176.606,2604.565

11,241.574,187.440,34.146,252.415,1.397,171.731
12,3426.849,108.584,59.863,251.322,179.609,2453.825

13,217.276,176.812,62.825,254.667,1.507,156.752
14,3249.690,111.370,56.000,252.000,179.300,2363.007

15,237.895,182.782,43.372,252.775,3.991,174.930
16,3008.455,107.875,63.421,251.049,-177.174,2222.582

17,223.944,170.625,54.061,253.178,-7.125,163.847
18,2922.286,114.946,56.391,254.453,177.947,2155.589

19,230.158,182.239,43.540,252.226,5.440,169.722
20,2774.477,105.356,41.200,245.333,-179.554,2067.784

21,253.935,163.015,37.667,253.667,0.000,180.293
22,2697.569,94.241,24.413,252.000,179.751,1928.735

23,262.213,163.631,33.082,253.636,5.042,188.196
24,2551.824,91.226,32.468,253.333,-178.719,1850.326

25,261.925,134.616,34.432,252.676,1.614,192.256
26,2315.196,90.589,35.667,245.667,0.000,1709.321

27,247.255,153.939,47.300,252.333,0.830,184.073
28,2148.810,90.410,45.213,252.114,-177.816,1609.639

29,249.854,150.183,47.173,252.275,8.842,183.835
30,2087.549,108.539,36.198,252.155,2.289,1549.978

31,267.925,149.249,31.000,255.000,0.000,193.678
32,2016.981,112.007,30.874,252.000,-179.517,1467.063

33,269.005,146.714,49.333,253.993,4.667,198.842
34,1746.715,103.702,37.535,252.000,-178.389,1294.769

35,267.966,147.759,70.788,254.197,3.900,187.800
36,1754.876,119.435,24.912,252.000,-175.253,1234.883

37,230.286,147.846,44.709,250.915,1.219,179.600
38,1451.449,114.111,60.000,252.667,-178.270,1139.003

39,246.902,134.028,35.420,253.790,1.245,183.966
40,1339.311,104.352,25.333,254.000,-179.087,1003.703

41,213.904,149.373,77.800,252.213,-3.434,178.852
42,1072.353,117.967,30.321,253.000,179.318,899.857

43,109.690,176.072,32.992,252.549,-5.247,179.725
44,595.885,114.808,17.607,253.052,177.111,978.286

45,260.154,137.638,33.667,253.564,2.203,200.961
46,995.876,115.235,55.000,254.667,-179.427,772.393

47,158.403,163.098,18.683,253.681,-6.789,200.017
48,670.882,120.657,23.066,252.000,172.974,850.500

49,239.362,129.929,37.926,254.420,-4.236,196.851
50,839.970,141.805,30.742,252.146,176.687,691.887

51,248.353,131.288,1.667,253.667,-1.061,200.000
52,1519.000,113.036,17.439,188.806,-0.793,1518.145

53,414.000,142.748,13.515,252.000,-6.248,190.456
54,1444.000,97.172,6.812,252.000,-0.715,1443.112

55,237.175,122.277,9.000,255.000,0.000,197.226
56,712.953,138.530,24.205,254.000,-179.310,595.307

57,153.113,145.599,8.876,252.953,-9.360,205.337
58,455.485,109.135,7.401,254.278,177.086,613.056
