Distance_totale_mm,Pavg_mm,Qmin_mm,Qavg_mm,Incertitude_mm
3000,152.5,2840,2847.5,15
2900,160.25,2735,2739.75,9.5
2800,161,2630,2639,18
2700,169,2525,2531,12
2600,150.5,2445,2449.5,9
2500,166,2330,2334,8
2400,160.5,2235,2239.5,9
2300,164,2133,2136,6
2200,165.75,2030,2034.25,8.5
2100,156.75,1939,1943.25,8.5
2000,167,1829,1833,8
1900,172,1725,1728,6
1800,174.25,1622,1625.75,7.5
1700,167.5,1530,1532.5,5
1600,165,1430,1435,10
1500,180.5,1315,1319.5,9
1400,177.75,1218,1222.25,8.5
1300,161,1133,1139,12
1200,168,1029,1032,6
1100,176.25,920,923.75,7.5
1000,177,820,823,6
900,195.5,700,704.5,9
800,178.75,619,621.25,4.5
700,195,500,505,10
